Date,Open,High,Low,Close,Adj Close,Volume
7/1/2015,31.725,31.735001,31.497499,31.65,28.769138,120955200
7/2/2015,31.6075,31.672501,31.442499,31.610001,28.732775,108844000
7/6/2015,31.235001,31.557501,31.2125,31.5,28.63279,112241600
7/7/2015,31.4725,31.5375,30.942499,31.422501,28.562342,187787200
7/8/2015,31.120001,31.16,30.635,30.6425,27.853342,243046400
7/9/2015,30.9625,31.014999,29.805,30.0175,27.285227,314380000
7/10/2015,30.485001,30.9625,30.3025,30.82,28.014683,245418000
7/13/2015,31.2575,31.440001,31.08,31.415001,28.555531,165762000
7/14/2015,31.51,31.592501,31.26,31.4025,28.544165,127072400
7/15/2015,31.43,31.7875,31.395,31.705,28.819122,134596800
7/16/2015,31.934999,32.142502,31.8375,32.127499,29.203173,144889600
7/17/2015,32.27,32.404999,32.077499,32.404999,29.455408,184658800
7/20/2015,32.7425,33.2425,32.674999,33.017502,30.012161,235600800
7/21/2015,33.212502,33.23,32.580002,32.6875,29.712191,307025600
7/22/2015,30.497499,31.375,30.497499,31.305,28.455534,461802400
7/23/2015,31.549999,31.772499,31.264999,31.290001,28.441904,203998000
7/24/2015,31.33,31.434999,30.975,31.125,28.291922,168649200
7/27/2015,30.772499,30.9025,30.530001,30.692499,27.898783,177822000
7/28/2015,30.844999,30.977501,30.637501,30.844999,28.037409,134472400
7/29/2015,30.7875,30.875,30.567499,30.747499,27.948784,148046800
7/30/2015,30.58,30.6425,30.4275,30.592501,27.807894,134513200
7/31/2015,30.65,30.66,30.227501,30.325001,27.564735,171540000
8/3/2015,30.375,30.6425,29.379999,29.610001,26.91482,279904000
8/4/2015,29.355,29.424999,28.3125,28.66,26.051298,496554400
8/5/2015,28.237499,29.360001,28.025,28.85,26.223999,397250400
8/6/2015,28.9925,29.125,28.530001,28.782499,26.281063,211612000
8/7/2015,28.645,29.0625,28.625,28.879999,26.370089,154681600
8/10/2015,29.1325,29.997499,29.1325,29.93,27.32884,219806400
8/11/2015,29.452499,29.545,28.3325,28.372499,25.906696,388331200
8/12/2015,28.1325,28.855,27.407499,28.809999,26.306175,404870000
8/13/2015,29.01,29.1,28.635,28.7875,26.285635,194143200
8/14/2015,28.58,29.077499,28.502501,28.99,26.470533,171718000
8/17/2015,29.01,29.4125,28.875,29.290001,26.744461,163538800
8/18/2015,29.1075,29.360001,29.002501,29.125,26.5938,138242800
8/19/2015,29.025,29.129999,28.67,28.752501,26.253677,193146000
8/20/2015,28.52,28.5875,27.907499,28.1625,25.714945,274006400
8/21/2015,27.6075,27.975,26.4125,26.440001,24.142149,513102000
8/24/2015,23.717501,27.200001,23,25.780001,23.539509,648825200
8/25/2015,27.7775,27.7775,25.875,25.934999,23.681038,414406400
8/26/2015,26.772499,27.4725,26.262501,27.422501,25.039261,387098400
8/27/2015,28.057501,28.309999,27.504999,28.23,25.776583,338464400
8/28/2015,28.0425,28.327499,27.885,28.3225,25.861048,212657600
8/31/2015,28.0075,28.6325,28,28.190001,25.740063,224917200
9/1/2015,27.5375,27.969999,26.84,26.93,24.589565,307383600
9/2/2015,27.557501,28.084999,27.282499,28.084999,25.644182,247555200
9/3/2015,28.122499,28.195,27.51,27.592501,25.19449,212935600
9/4/2015,27.2425,27.612499,27.127501,27.317499,24.943386,199985200
9/8/2015,27.9375,28.139999,27.58,28.077499,25.637335,219374400
9/9/2015,28.440001,28.504999,27.442499,27.5375,25.14426,340043200
9/10/2015,27.567499,28.32,27.475,28.1425,25.696684,251571200
9/11/2015,27.9475,28.5525,27.940001,28.5525,26.071053,199662000
9/14/2015,29.145,29.2225,28.715,28.827499,26.322155,233453600
9/15/2015,28.9825,29.1325,28.605,29.07,26.543581,173364800
9/16/2015,29.0625,29.135,28.860001,29.102501,26.573256,148694000
9/17/2015,28.915001,29.122499,28.43,28.48,26.004856,256450400
9/18/2015,28.0525,28.575001,27.967501,28.362499,25.897562,297141200
9/21/2015,28.4175,28.842501,28.415001,28.8025,26.299322,200888000
9/22/2015,28.344999,28.545,28.129999,28.35,25.886156,201384800
9/23/2015,28.407499,28.68,28.325001,28.58,26.096163,143026800
9/24/2015,28.3125,28.875,28.092501,28.75,26.25139,200878000
9/25/2015,29.110001,29.172501,28.504999,28.6775,26.185192,224607600
9/28/2015,28.4625,28.6425,28.110001,28.110001,25.667011,208436000
9/29/2015,28.2075,28.377501,26.965,27.264999,24.895451,293461600
9/30/2015,27.5425,27.885,27.182501,27.575001,25.178507,265892000
10/1/2015,27.2675,27.405001,26.827499,27.395,25.014153,255716400
10/2/2015,27.002501,27.752501,26.887501,27.594999,25.196768,232079200
10/5/2015,27.469999,27.842501,27.2675,27.695,25.288076,208258800
10/6/2015,27.657499,27.934999,27.442499,27.827499,25.409061,192787200
10/7/2015,27.934999,27.942499,27.352501,27.695,25.288076,187062400
10/8/2015,27.547501,27.547501,27.0525,27.375,24.995888,247918400
10/9/2015,27.5,28.07,27.372499,28.030001,25.593964,211064400
10/12/2015,28.182501,28.1875,27.860001,27.9,25.475264,121868800
10/13/2015,27.705,28.112499,27.67,27.9475,25.518637,132197200
10/14/2015,27.8225,27.879999,27.389999,27.5525,25.157965,177849600
10/15/2015,27.7325,28.025,27.622499,27.965,25.534609,150694000
10/16/2015,27.945,28,27.6325,27.76,25.347429,156930400
10/19/2015,27.700001,27.9375,27.5275,27.932501,25.504938,119036800
10/20/2015,27.834999,28.5425,27.705,28.442499,25.970612,195871200
10/21/2015,28.5,28.895,28.424999,28.440001,25.968334,167180800
10/22/2015,28.5825,28.875,28.525,28.875,26.365524,166616400
10/23/2015,29.174999,29.807501,29.0825,29.77,27.182739,237467600
10/26/2015,29.52,29.532499,28.73,28.82,26.315308,265335200
10/27/2015,28.85,29.135,28.497499,28.637501,26.148666,279537600
10/28/2015,29.2325,29.825001,29.014999,29.817499,27.226114,342205600
10/29/2015,29.674999,30.172501,29.567499,30.1325,27.513741,204909200
10/30/2015,30.247499,30.305,29.862499,29.875,27.27862,197461200
11/2/2015,30.200001,30.34,29.9025,30.295,27.662119,128813200
11/3/2015,30.1975,30.872499,30.174999,30.6425,27.97942,182076000
11/4/2015,30.782499,30.955,30.405001,30.5,27.849298,179544400
11/5/2015,30.4625,30.672501,30.045,30.23,27.720921,158210800
11/6/2015,30.2775,30.452499,30.155001,30.264999,27.753016,132169200
11/9/2015,30.24,30.452499,30.012501,30.1425,27.640686,135485600
11/10/2015,29.225,29.5175,29.014999,29.192499,26.769533,236511600
11/11/2015,29.092501,29.355,28.8025,29.0275,26.618227,180872000
11/12/2015,29.065001,29.205,28.9125,28.93,26.52882,130102400
11/13/2015,28.799999,28.8925,28.067499,28.084999,25.753952,183249600
11/16/2015,27.844999,28.559999,27.75,28.545,26.175776,152426800
11/17/2015,28.73,28.762501,28.33,28.422501,26.06344,110467600
11/18/2015,28.940001,29.372499,28.875,29.3225,26.888746,186698800
11/19/2015,29.41,29.9375,29.190001,29.695,27.230326,173183200
11/20/2015,29.799999,29.98,29.7125,29.825001,27.349537,137148400
11/23/2015,29.817499,29.932501,29.334999,29.4375,26.994198,129930000
11/24/2015,29.3325,29.8375,29.280001,29.719999,27.253248,171212800
11/25/2015,29.8025,29.807501,29.48,29.5075,27.058382,85553200
11/27/2015,29.5725,29.602501,29.4,29.452499,27.00795,52185600
11/30/2015,29.497499,29.852501,29.4375,29.575001,27.120287,156721200
12/1/2015,29.6875,29.702499,29.215,29.334999,26.9002,139409600
12/2/2015,29.334999,29.5275,29.02,29.07,26.6572,133546400
12/3/2015,29.137501,29.1975,28.555,28.799999,26.409605,166278000
12/4/2015,28.8225,29.8125,28.7775,29.7575,27.287638,231108000
12/7/2015,29.745001,29.965,29.452499,29.57,27.115704,128336800
12/8/2015,29.379999,29.65,29.215,29.557501,27.104237,137238000
12/9/2015,29.41,29.422501,28.77,28.905001,26.505896,185445600
12/10/2015,29.01,29.235001,28.877501,29.0425,26.631981,116850800
12/11/2015,28.797501,28.8475,28.2125,28.295,25.946524,187544800
12/14/2015,28.045,28.17,27.4475,28.120001,25.786047,257274800
12/15/2015,27.985001,28.200001,27.5875,27.622499,25.329842,213292400
12/16/2015,27.7675,27.997499,27.200001,27.834999,25.524704,224954000
12/17/2015,28.004999,28.0625,27.245001,27.245001,24.983673,179091200
12/18/2015,27.227501,27.379999,26.452499,26.5075,24.307383,385813200
12/21/2015,26.82,26.842501,26.3925,26.8325,24.605413,190362400
12/22/2015,26.85,26.93,26.612499,26.807501,24.582487,131157600
12/23/2015,26.817499,27.2125,26.799999,27.1525,24.898851,130629600
12/24/2015,27.25,27.25,26.987499,27.0075,24.765886,54281600
12/28/2015,26.897499,26.922501,26.545,26.705,24.488491,106816800
12/29/2015,26.74,27.3575,26.715,27.184999,24.928658,123724800
12/30/2015,27.145,27.174999,26.795,26.83,24.603117,100855200
12/31/2015,26.752501,26.7575,26.205,26.315001,24.130861,163649200
1/4/2016,25.6525,26.342501,25.5,26.3375,24.151499,270597600
1/5/2016,26.4375,26.4625,25.602501,25.6775,23.546278,223164000
1/6/2016,25.139999,25.592501,24.967501,25.174999,23.085484,273829600
1/7/2016,24.67,25.032499,24.1075,24.112499,22.111172,324377600
1/8/2016,24.637501,24.7775,24.190001,24.24,22.228088,283192000
1/11/2016,24.7425,24.764999,24.334999,24.6325,22.588007,198957600
1/12/2016,25.137501,25.172501,24.709999,24.99,22.915838,196616800
1/13/2016,25.08,25.297501,24.325001,24.3475,22.32667,249758400
1/14/2016,24.49,25.120001,23.934999,24.879999,22.814966,252680400
1/15/2016,24.049999,24.4275,23.84,24.282499,22.267061,319335600
1/19/2016,24.602501,24.6625,23.875,24.165001,22.159313,212350800
1/20/2016,23.775,24.547501,23.355,24.1975,22.189117,289337600
1/21/2016,24.264999,24.469999,23.735001,24.075001,22.076782,208646000
1/22/2016,24.657499,25.365,24.592501,25.355,23.250544,263202000
1/25/2016,25.379999,25.3825,24.8025,24.860001,22.796627,207178000
1/26/2016,24.9825,25.219999,24.5175,24.997499,22.922716,300308000
1/27/2016,24.01,24.157499,23.334999,23.355,21.416536,533478800
1/28/2016,23.4475,23.629999,23.0975,23.522499,21.570141,222715200
1/29/2016,23.6975,24.334999,23.5875,24.334999,22.315201,257666000
2/1/2016,24.1175,24.1775,23.85,24.1075,22.106585,163774000
2/2/2016,23.855,24.01,23.57,23.620001,21.659552,149428800
2/3/2016,23.75,24.209999,23.52,24.0875,22.088247,183857200
2/4/2016,23.965,24.3325,23.797501,24.15,22.265726,185886800
2/5/2016,24.129999,24.23,23.422501,23.504999,21.671047,185672400
2/8/2016,23.282499,23.924999,23.26,23.752501,21.899239,216085600
2/9/2016,23.5725,23.985001,23.4825,23.747499,21.89463,177324800
2/10/2016,23.98,24.0875,23.525,23.567499,21.728676,169374400
2/11/2016,23.4475,23.68,23.147499,23.424999,21.597292,200298800
2/12/2016,23.547501,23.625,23.252501,23.497499,21.664133,161405600
2/16/2016,23.754999,24.2125,23.6525,24.16,22.274946,196231600
2/17/2016,24.1675,24.5525,24.0375,24.530001,22.616077,179452800
2/18/2016,24.709999,24.7225,24.022499,24.065001,22.187357,156084000
2/19/2016,24,24.190001,23.950001,24.01,22.136652,141496800
2/22/2016,24.077499,24.225,23.98,24.219999,22.330261,137123200
2/23/2016,24.1,24.125,23.637501,23.672501,21.825483,127770400
2/24/2016,23.495001,24.094999,23.33,24.025,22.150478,145022800
2/25/2016,24.012501,24.190001,23.8125,24.190001,22.302605,110330800
2/26/2016,24.299999,24.504999,24.145,24.227501,22.337173,115964400
2/29/2016,24.215,24.557501,24.1625,24.172501,22.28647,140865200
3/1/2016,24.4125,25.192499,24.355,25.1325,23.171568,201628400
3/2/2016,25.127501,25.2225,24.91,25.1875,23.222275,132678400
3/3/2016,25.145,25.4275,25.112499,25.375,23.395142,147822800
3/4/2016,25.592501,25.9375,25.342501,25.752501,23.743196,184220400
3/7/2016,25.5975,25.7075,25.24,25.467501,23.480433,143315600
3/8/2016,25.195,25.440001,25.1,25.2575,23.286816,126247600
3/9/2016,25.327499,25.395,25.067499,25.280001,23.307562,108806800
3/10/2016,25.352501,25.559999,25.0375,25.2925,23.319078,134054400
3/11/2016,25.559999,25.57,25.375,25.565001,23.57032,109632800
3/14/2016,25.477501,25.727501,25.445,25.629999,23.630253,100304400
3/15/2016,25.99,26.295,25.9625,26.145,24.105076,160270800
3/16/2016,26.1525,26.577499,26.147499,26.4925,24.425451,153214000
3/17/2016,26.379999,26.6175,26.24,26.450001,24.386272,137682800
3/18/2016,26.584999,26.625,26.297501,26.48,24.413929,176820800
3/21/2016,26.4825,26.9125,26.285,26.477501,24.411629,142010800
3/22/2016,26.3125,26.8225,26.3025,26.68,24.598324,129777600
3/23/2016,26.620001,26.7675,26.475,26.532499,24.462334,102814000
3/24/2016,26.3675,26.5625,26.2225,26.4175,24.356308,104532000
3/28/2016,26.5,26.547501,26.264999,26.297501,24.245674,77645600
3/29/2016,26.2225,26.9475,26.219999,26.92,24.819599,124760400
3/30/2016,27.1625,27.605,27.15,27.389999,25.252924,182404400
3/31/2016,27.43,27.475,27.219999,27.247499,25.121548,103553600
4/1/2016,27.195,27.5,27.049999,27.497499,25.352041,103496000
4/4/2016,27.605,28.047501,27.567499,27.780001,25.612497,149424800
4/5/2016,27.377501,27.682501,27.355,27.452499,25.310553,106314800
4/6/2016,27.557501,27.745001,27.299999,27.74,25.575619,105616400
4/7/2016,27.487499,27.605,27.030001,27.135,25.017826,127207600
4/8/2016,27.227501,27.442499,27.0425,27.165001,25.045483,94326800
4/11/2016,27.2425,27.6525,27.2075,27.254999,25.128458,117630000
4/12/2016,27.334999,27.625,27.165001,27.610001,25.455759,108929200
4/13/2016,27.700001,28.084999,27.700001,28.01,25.824556,133029200
4/14/2016,27.905001,28.0975,27.8325,28.025,25.838387,101895600
4/15/2016,28.0275,28.075001,27.432501,27.4625,25.319775,187756000
4/18/2016,27.2225,27.237499,26.735001,26.870001,24.773499,243286000
4/19/2016,26.969999,27,26.557501,26.727501,24.642118,129539600
4/20/2016,26.66,27.022499,26.514999,26.782499,24.692823,122444000
4/21/2016,26.7325,26.7325,26.379999,26.4925,24.425451,126210000
4/22/2016,26.252501,26.620001,26.155001,26.42,24.358612,134732400
4/25/2016,26.25,26.4125,26.127501,26.27,24.220312,112126400
4/26/2016,25.977501,26.325001,25.977501,26.0875,24.052055,224064800
4/27/2016,24,24.6775,23.92,24.455,22.546928,458408400
4/28/2016,24.4025,24.469999,23.5625,23.7075,21.857746,328970800
